dzongkhag,validation_year,model,RMSE,MAE,MAPE,MASE
DAGANA,2022,Seasonal Naive,0.0049346365764739945,0.0033686624999999994,11.017243041377885,0.8199058917625122
DAGANA,2022,Holt-Winters,0.0035862364102849957,0.0026461785067153354,9.400110059295539,0.6440589843331679
DAGANA,2022,SARIMA,0.005273284117935276,0.005127539491158195,21.527635350634725,1.2480026832743139
DAGANA,2023,Seasonal Naive,0.00577458322449912,0.003995749999999999,14.17878032897024,0.9982158731083989
DAGANA,2023,Holt-Winters,0.0039093932290430854,0.0028950772616867363,9.9582879799701,0.7232464684955011
DAGANA,2023,SARIMA,0.004015814353156161,0.0032581225398469354,11.80015406029634,0.8139422225633394
DAGANA,2024,Seasonal Naive,0.003803181179398811,0.0028697499999999995,10.87156522107252,0.7170791471657784
DAGANA,2024,Holt-Winters,0.003862880889973341,0.003220257351087111,11.976515252370133,0.8046622162111245
DAGANA,2024,SARIMA,0.0027984272291293136,0.002484694014479458,10.072501852254497,0.6208632336861554
HAA,2022,Seasonal Naive,0.012632249921926023,0.009481083333333334,10.67291164298798,1.1914237345902825
HAA,2022,Holt-Winters,0.012994202689018599,0.010132250328995403,11.077237904066536,1.27325149483009
HAA,2022,SARIMA,0.009725356439952289,0.008318102838372076,9.782221521673547,1.0452798272067312
HAA,2023,Seasonal Naive,0.009776792858090019,0.007612716666666668,8.550252272084167,0.9311745783891988
HAA,2023,Holt-Winters,0.006604180099287322,0.005542603483274081,6.257248051144167,0.677961848273557
HAA,2023,SARIMA,0.006752635623658922,0.005502899893454813,6.902829342709691,0.6731053725725269
HAA,2024,Seasonal Naive,0.0070889694361498485,0.005958500000000001,6.250359412491871,0.7351583016303043
HAA,2024,Holt-Winters,0.006795009531608883,0.005649951442669451,6.76660515225444,0.6970896545920215
HAA,2024,SARIMA,0.010014774924200548,0.007667199448369046,9.761855032470002,0.945977229961197
LHUENTSE,2022,Seasonal Naive,0.00812752862194232,0.007023414166666665,12.17133270786456,0.7539278850812913
LHUENTSE,2022,Holt-Winters,0.013587345623520599,0.011174715297329841,17.48282945790969,1.1995490043128039
LHUENTSE,2022,SARIMA,0.007782510606408443,0.006550929826014961,11.416233340589702,0.7032090877516115
LHUENTSE,2023,Seasonal Naive,0.00619040779163484,0.005125951666666667,8.600332407033438,0.5702924932832878
LHUENTSE,2023,Holt-Winters,0.0055260065280269425,0.004694590438631115,8.284356157550366,0.5223010009245416
LHUENTSE,2023,SARIMA,0.007567065950978876,0.006232881506142668,10.371733505358495,0.6934449962905872
LHUENTSE,2024,Seasonal Naive,0.004495828135163199,0.0039972758333333335,6.525110391792242,0.46996400206489103
LHUENTSE,2024,Holt-Winters,0.007608678096000009,0.0067432045700530074,10.823304606568714,0.7928057853945215
LHUENTSE,2024,SARIMA,0.0038375146595125897,0.0033616110660639655,5.539534053854169,0.3952282143800966
MONGAR,2022,Seasonal Naive,0.03121124774277937,0.019491861666666666,5.557635956157647,0.7127133670009922
MONGAR,2022,Holt-Winters,0.04809683287014023,0.032383219051262076,8.693635993128314,1.1840815145853951
